"tick","Human Count","Zombie Count"
1.0,98,7
2.0,98,7
3.0,97,8
4.0,96,9
5.0,96,9
6.0,95,10
7.0,95,10
8.0,95,10
9.0,94,11
10.0,94,11
11.0,94,11
12.0,94,11
13.0,92,13
14.0,90,15
15.0,90,15
16.0,90,15
17.0,90,15
18.0,90,15
19.0,90,15
20.0,88,17
21.0,88,17
22.0,88,17
23.0,88,17
24.0,87,18
25.0,87,18
26.0,86,19
27.0,85,20
28.0,84,21
29.0,84,21
30.0,84,21
31.0,83,22
32.0,82,23
33.0,82,23
34.0,82,23
35.0,82,23
36.0,82,23
37.0,82,23
38.0,82,23
39.0,82,23
40.0,82,23
41.0,82,23
42.0,82,23
43.0,82,23
44.0,82,23
45.0,81,24
46.0,81,24
47.0,81,24
48.0,81,24
49.0,81,24
50.0,80,25
51.0,80,25
52.0,80,25
53.0,80,25
54.0,79,26
55.0,79,26
56.0,78,27
57.0,78,27
58.0,78,27
59.0,78,27
60.0,78,27
61.0,78,27
62.0,78,27
63.0,78,27
64.0,77,28
65.0,77,28
66.0,76,29
67.0,76,29
68.0,75,30
69.0,74,31
70.0,73,32
71.0,73,32
72.0,72,33
73.0,72,33
74.0,72,33
75.0,71,34
76.0,71,34
77.0,71,34
78.0,71,34
79.0,71,34
80.0,70,35
81.0,69,36
82.0,68,37
83.0,68,37
84.0,68,37
85.0,68,37
86.0,68,37
87.0,68,37
88.0,68,37
89.0,68,37
90.0,68,37
91.0,68,37
92.0,67,38
93.0,67,38
94.0,66,39
95.0,66,39
96.0,66,39
97.0,65,40
98.0,65,40
99.0,65,40
100.0,65,40
101.0,65,40
102.0,65,40
103.0,65,40
104.0,65,40
105.0,64,41
106.0,64,41
107.0,64,41
108.0,64,41
109.0,63,42
110.0,61,44
111.0,61,44
112.0,61,44
113.0,61,44
114.0,61,44
115.0,59,46
116.0,58,47
117.0,57,48
118.0,57,48
119.0,57,48
120.0,56,49
121.0,55,50
122.0,55,50
123.0,55,50
124.0,54,51
125.0,54,51
126.0,51,54
127.0,49,56
128.0,48,57
129.0,46,59
130.0,45,60
131.0,41,64
132.0,39,66
133.0,38,67
134.0,38,67
135.0,38,67
136.0,37,68
137.0,33,72
138.0,32,73
139.0,31,74
140.0,31,74
141.0,30,75
142.0,29,76
143.0,29,76
144.0,29,76
145.0,27,78
146.0,26,79
147.0,23,82
148.0,23,82
149.0,23,82
150.0,22,83
151.0,21,84
152.0,21,84
153.0,20,85
154.0,20,85
155.0,20,85
156.0,18,87
157.0,18,87
158.0,17,88
159.0,17,88
160.0,17,88
161.0,17,88
162.0,16,89
163.0,16,89
164.0,16,89
165.0,16,89
166.0,16,89
167.0,16,89
168.0,16,89
169.0,16,89
170.0,15,90
171.0,15,90
172.0,15,90
173.0,14,91
174.0,14,91
175.0,14,91
176.0,14,91
177.0,14,91
178.0,14,91
179.0,13,92
180.0,13,92
181.0,13,92
182.0,13,92
183.0,13,92
184.0,13,92
185.0,13,92
186.0,13,92
187.0,13,92
188.0,13,92
189.0,13,92
190.0,13,92
191.0,13,92
192.0,13,92
193.0,12,93
194.0,12,93
195.0,12,93
196.0,12,93
